Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
4-Jan-22,21,"1,518.60","1,609.85",73.20,72.56,0.00,0.64,163.80,162.08,0.00,1.72,23,12
4-Jan-22,22,"1,405.30","1,505.83",85.95,84.64,0.00,1.31,156.52,154.52,0.00,2.00,24,12
4-Jan-22,23,"1,281.70","1,385.00",91.39,89.64,0.00,1.75,113.15,111.00,0.00,2.15,23,12
4-Jan-22,24,"1,187.90","1,303.87",92.75,91.28,0.01,1.46,131.99,129.25,0.04,2.70,22,12
5-Jan-22,01,"1,148.30","1,244.07",135.53,133.88,0.01,1.64,143.15,140.46,0.21,2.48,23,12
5-Jan-22,02,"1,092.60","1,212.69",114.16,112.91,0.01,1.24,127.75,125.59,0.19,1.97,22,13
5-Jan-22,03,"1,096.40","1,206.30",102.35,101.25,0.00,1.10,123.61,121.64,0.19,1.78,22,13
5-Jan-22,04,"1,104.00","1,199.68",108.28,107.08,0.01,1.19,111.47,109.84,0.17,1.46,23,14
5-Jan-22,05,"1,109.90","1,231.71",112.44,111.09,0.01,1.34,126.41,124.75,0.20,1.46,22,14
5-Jan-22,06,"1,223.40","1,327.92",110.08,109.43,0.01,0.64,123.42,122.40,0.23,0.79,22,15
5-Jan-22,07,"1,294.60","1,466.02",110.68,110.75,0.01,-0.08,143.31,142.61,0.32,0.38,21,16
5-Jan-22,08,"1,434.20","1,557.60",133.47,133.63,0.01,-0.17,127.28,126.71,0.35,0.22,22,17
5-Jan-22,09,"1,467.10","1,585.91",135.96,135.74,0.02,0.20,146.48,145.86,0.43,0.19,25,21
5-Jan-22,10,"1,445.10","1,594.52",138.09,137.81,0.07,0.21,144.20,143.47,0.43,0.30,27,22
5-Jan-22,11,"1,467.50","1,598.88",107.17,106.94,0.02,0.21,72.51,72.04,0.01,0.46,27,25
5-Jan-22,12,"1,470.30","1,606.56",91.94,91.74,0.03,0.17,73.02,72.39,0.11,0.52,30,29
5-Jan-22,13,"1,444.30","1,590.96",83.06,82.90,0.02,0.14,80.40,79.75,0.15,0.50,31,30
5-Jan-22,14,"1,433.80","1,578.47",80.44,80.34,0.03,0.07,79.68,79.02,0.14,0.52,33,32
5-Jan-22,15,"1,380.70","1,552.02",76.73,76.76,0.01,-0.04,63.47,63.06,0.10,0.31,36,35
5-Jan-22,16,"1,419.00","1,549.18",70.41,70.48,0.00,-0.07,62.38,62.03,0.11,0.24,37,36
5-Jan-22,17,"1,496.50","1,614.05",74.77,75.21,0.00,-0.44,68.40,68.24,0.08,0.08,37,36
5-Jan-22,18,"1,504.10","1,664.81",86.48,87.14,0.01,-0.67,78.83,78.51,0.13,0.19,37,36
5-Jan-22,19,"1,454.00","1,625.13",66.41,66.49,0.00,-0.08,69.76,69.42,0.09,0.25,35,34
5-Jan-22,20,"1,405.40","1,553.71",64.11,63.96,0.00,0.15,57.56,57.26,0.07,0.23,33,32
5-Jan-22,21,"1,337.10","1,474.58",67.24,67.30,0.00,-0.06,56.42,56.05,0.09,0.28,34,33
5-Jan-22,22,"1,218.80","1,371.74",66.54,66.47,0.00,0.07,59.08,58.88,0.01,0.19,35,34
5-Jan-22,23,"1,092.10","1,260.85",60.57,60.51,0.00,0.06,86.58,86.29,0.00,0.29,29,28
5-Jan-22,24,"1,013.20","1,167.77",58.09,57.74,0.00,0.35,94.00,93.47,0.00,0.53,28,27
6-Jan-22,01,"1,030.40","1,111.63",67.17,66.44,0.00,0.73,59.06,58.61,0.00,0.45,28,27
6-Jan-22,02,994.90,"1,082.04",56.46,55.90,0.00,0.56,37.24,37.07,0.00,0.17,27,26
6-Jan-22,03,"1,004.50","1,068.43",51.91,51.41,0.00,0.50,38.52,38.38,0.00,0.14,27,26
6-Jan-22,04,"1,022.80","1,076.70",53.86,53.31,0.00,0.55,37.98,37.84,0.00,0.14,28,26
6-Jan-22,05,"1,035.70","1,116.47",55.49,54.91,0.00,0.58,41.69,41.47,0.00,0.22,25,24
6-Jan-22,06,"1,118.60","1,218.95",66.97,66.16,0.00,0.81,54.69,54.16,0.03,0.50,24,22
6-Jan-22,07,"1,241.60","1,367.50",77.93,76.92,0.00,1.01,57.18,56.38,0.04,0.76,27,27
6-Jan-22,08,"1,354.50","1,459.06",91.95,90.57,0.00,1.38,86.09,84.55,0.09,1.45,25,23
6-Jan-22,09,"1,395.20","1,477.88",83.69,82.51,0.00,1.18,53.98,53.06,0.03,0.89,28,25
6-Jan-22,10,"1,371.40","1,465.34",75.08,74.00,0.01,1.07,41.14,40.53,0.01,0.60,34,23
6-Jan-22,11,"1,310.80","1,458.79",95.42,94.31,0.00,1.11,78.13,76.99,0.01,1.13,35,20
6-Jan-22,12,"1,291.50","1,455.24",86.61,85.55,0.00,1.06,83.54,82.25,0.07,1.22,35,19
6-Jan-22,13,"1,293.30","1,447.42",84.26,83.38,0.01,0.87,88.02,86.89,0.08,1.05,36,18
6-Jan-22,14,"1,308.70","1,454.19",84.72,83.86,0.00,0.86,77.71,76.79,0.01,0.91,35,17
6-Jan-22,15,"1,337.60","1,451.95",90.94,89.83,0.00,1.11,78.51,77.50,0.01,1.00,34,17
6-Jan-22,16,"1,402.70","1,479.65",109.58,108.15,0.00,1.43,95.11,93.67,0.00,1.44,34,16
6-Jan-22,17,"1,501.30","1,577.31",126.49,125.12,0.00,1.37,123.10,121.20,0.00,1.90,33,16
6-Jan-22,18,"1,583.20","1,671.36",162.80,160.88,0.00,1.92,200.69,197.67,0.00,3.02,30,16
6-Jan-22,19,"1,570.30","1,659.12",156.55,154.80,0.00,1.75,166.57,163.85,0.00,2.72,31,17
6-Jan-22,20,"1,536.90","1,604.02",157.01,155.09,0.00,1.92,114.45,112.61,0.00,1.84,28,17
6-Jan-22,21,"1,464.90","1,535.66",124.34,122.77,0.00,1.57,95.11,93.70,0.00,1.41,29,16
6-Jan-22,22,"1,386.10","1,437.72",115.77,114.50,0.00,1.27,86.18,85.01,0.00,1.17,27,19
6-Jan-22,23,"1,251.80","1,325.78",101.17,99.78,0.00,1.39,78.03,77.03,0.00,1.00,27,19
6-Jan-22,24,"1,137.10","1,237.99",104.74,103.46,0.00,1.28,76.87,75.72,0.00,1.15,26,20
7-Jan-22,01,"1,079.30","1,174.29",99.02,97.74,0.00,1.28,79.03,77.81,0.00,1.22,26,21
7-Jan-22,02,"1,068.30","1,134.53",84.32,83.22,0.00,1.10,85.70,84.35,0.00,1.35,27,22
7-Jan-22,03,"1,066.80","1,106.30",83.67,82.60,0.00,1.07,84.59,83.35,0.00,1.24,26,21
7-Jan-22,04,"1,088.40","1,108.28",83.94,82.82,0.00,1.12,87.53,86.29,0.00,1.24,26,21
7-Jan-22,05,"1,092.50","1,152.18",83.20,82.14,0.00,1.06,71.80,71.05,0.00,0.75,27,22
7-Jan-22,06,"1,200.40","1,235.56",101.77,100.28,0.00,1.49,70.92,70.33,0.00,0.59,27,23
7-Jan-22,07,"1,292.50","1,349.71",150.60,149.69,0.00,0.91,73.03,72.49,0.00,0.54,26,24
7-Jan-22,08,"1,446.90","1,453.99",155.34,154.64,0.00,0.70,93.08,92.14,0.00,0.94,26,24
7-Jan-22,09,"1,463.80","1,520.42",166.79,166.23,0.00,0.56,152.71,150.70,0.00,2.01,26,24
7-Jan-22,10,"1,485.40","1,568.95",165.99,165.21,0.00,0.78,180.99,179.02,0.00,1.97,26,24
7-Jan-22,11,"1,472.80","1,606.51",188.41,187.53,0.00,0.88,225.09,222.77,0.00,2.32,27,24
7-Jan-22,12,"1,476.90","1,623.33",187.40,186.49,0.00,0.91,258.14,255.71,0.00,2.43,27,24
7-Jan-22,13,"1,452.00","1,618.71",169.90,169.38,0.01,0.51,245.67,243.95,0.01,1.71,27,24
7-Jan-22,14,"1,418.30","1,595.86",156.08,155.83,0.05,0.20,209.40,208.57,0.09,0.74,28,25
7-Jan-22,15,"1,421.80","1,571.29",151.57,151.16,0.12,0.29,173.18,172.85,0.20,0.13,28,25
7-Jan-22,16,"1,405.10","1,557.99",147.44,147.52,0.07,-0.15,160.41,160.31,0.22,-0.12,29,22
7-Jan-22,17,"1,500.60","1,611.85",156.99,157.80,0.08,-0.89,163.26,163.44,0.24,-0.42,29,21
7-Jan-22,18,"1,562.20","1,694.11",182.37,183.09,0.11,-0.83,268.65,269.79,0.41,-1.55,28,20
7-Jan-22,19,"1,463.70","1,667.69",170.11,171.45,0.11,-1.45,193.63,194.61,0.33,-1.31,27,18
7-Jan-22,20,"1,400.50","1,607.36",168.11,169.60,0.04,-1.53,149.25,150.06,0.27,-1.08,26,17
7-Jan-22,21,"1,440.50","1,542.10",160.06,160.70,0.17,-0.81,137.67,138.27,0.27,-0.87,25,15
7-Jan-22,22,"1,375.50","1,459.01",154.32,155.13,0.16,-0.97,130.02,130.47,0.27,-0.72,24,15
7-Jan-22,23,"1,268.90","1,360.62",154.24,154.99,0.14,-0.89,123.75,124.22,0.31,-0.78,22,10
7-Jan-22,24,"1,163.00","1,272.74",139.13,140.36,-0.11,-1.12,125.74,126.23,0.33,-0.82,21,10
8-Jan-22,01,"1,125.90","1,219.36",150.47,151.38,-0.10,-0.81,136.67,135.81,2.05,-1.19,19,9
8-Jan-22,02,"1,126.20","1,195.61",132.15,133.06,-0.16,-0.75,113.30,112.81,1.25,-0.76,19,7
8-Jan-22,03,"1,124.60","1,188.46",121.37,122.18,-0.09,-0.72,115.42,114.57,1.58,-0.73,17,6
8-Jan-22,04,"1,104.20","1,196.70",112.56,113.30,-0.04,-0.70,113.00,113.37,0.31,-0.68,16,5
